阈值,最大连通子图,第二大连通子图
0.0038038038038038036,13,1
0.0038138138138138137,13,1
0.003823823823823824,13,1
0.0038338338338338336,13,1
0.0038438438438438438,13,1
0.003853853853853854,13,1
0.0038638638638638636,13,1
0.0038738738738738738,13,1
0.003883883883883884,13,1
0.0038938938938938936,13,1
0.003903903903903904,13,1
0.003913913913913914,13,1
0.003923923923923924,13,1
0.003933933933933934,13,1
0.003943943943943944,13,1
0.003953953953953954,13,1
0.003963963963963964,13,1
0.003973973973973974,13,1
0.003983983983983984,13,1
0.003993993993993994,13,1
0.004004004004004004,13,1
0.004014014014014014,12,1
0.004024024024024024,12,1
0.004034034034034034,12,1
0.004044044044044044,12,1
0.004054054054054054,12,1
0.004064064064064064,12,1
0.004074074074074074,11,1
0.004084084084084084,11,1
0.004094094094094094,11,1
0.004104104104104104,11,1
0.004114114114114114,11,1
0.004124124124124124,11,1
0.004134134134134134,11,1
0.004144144144144144,11,1
0.004154154154154154,11,1
0.004164164164164164,11,1
0.004174174174174174,11,1
0.004184184184184184,11,1
0.004194194194194194,11,1
0.004204204204204204,11,1
0.004214214214214214,11,1
0.004224224224224224,11,1
0.004234234234234234,11,1
0.004244244244244244,11,1
0.004254254254254254,11,1
0.004264264264264264,11,1
0.004274274274274274,11,1
0.004284284284284284,11,1
0.004294294294294294,11,1
0.004304304304304304,11,1
0.004314314314314314,11,1
0.004324324324324324,11,1
0.004334334334334334,11,1
0.004344344344344344,11,1
0.004354354354354354,11,1
0.004364364364364364,11,1
0.004374374374374375,11,1
0.004384384384384384,11,1
0.004394394394394394,11,1
0.004404404404404405,11,1
0.004414414414414414,11,1
0.004424424424424424,11,1
0.004434434434434435,11,1
0.0044444444444444444,11,1
0.004454454454454454,11,1
0.004464464464464465,11,1
0.0044744744744744745,11,1
0.004484484484484484,11,1
0.004494494494494495,11,1
0.0045045045045045045,11,1
0.004514514514514514,11,1
0.004524524524524525,11,1
0.0045345345345345345,11,1
0.004544544544544544,11,1
0.004554554554554555,11,1
0.0045645645645645645,11,1
0.004574574574574574,11,1
0.004584584584584585,11,1
0.0045945945945945945,11,1
0.004604604604604604,11,1
0.004614614614614615,11,1
0.0046246246246246245,11,1
0.004634634634634634,11,1
0.004644644644644645,11,1
